##################################################################
##  Data from the investigation described in
##     Haraldsdottir, J., Holm, L., Jensen, J.H. and Møller, A. (1986):
##     "Danskernes kostvaner 1985",
##     Levnedsmiddelstyrelsen, publ. nr. 138, nov. 1986.
##
## sex: 1=M, 2=F
## Avit = A-vitamin (RE)
person sex avit 
   1   2 1755.26
   2   1 1209.11
   3   1  815.99
   4   1 3383.84
   5   1 1981.01
   6   2 1175.81
   7   2  902.64
   8   2 2015.00
   9   2  987.72
  10   1 1715.55
  11   1 2418.41
  12   1 2829.84
  13   1 1005.65
  14   1  962.26
  15   1 1977.31
  16   1 1540.68
  17   1 4283.45
  18   2 1593.88
  19   2 2883.56
  20   2 1886.68
  21   1 1209.08
  22   1 1803.75
  23   1  939.33
  24   2 1141.24
  25   1 3780.01
  26   2 1427.30
  27   2 1258.40
  28   1 1776.99
  29   1 1688.19
  30   2  335.59
  31   2 1584.67
  32   2 1289.78
  33   1 1486.15
  34   2 1533.33
  35   2 2267.40
  36   1 1120.11
  37   2  970.08
  38   2 1271.72
  39   2 1544.42
  40   1 1662.39
  41   2 1825.91
  42   2  796.41
  43   2 1280.27
  44   1 3140.64
  45   2 1043.83
  46   2 2540.32
  47   2 1008.25
  48   2 1345.50
  49   2  841.71
  50   2 2599.35
  51   1 1274.24
  52   1 1133.96
  53   2 1112.27
  54   2 1797.00
  55   2  752.47
  56   1 1456.31
  57   1 3309.22
  58   1 1298.28
  59   2 1253.14
  60   2  810.86
  61   2 1556.59
  62   1 2967.60
  63   2 2231.53
  64   1 2304.43
  65   1 1859.96
  66   1  180.67
  67   2 1921.42
  68   1  750.16
  69   1  740.49
  70   1  955.95
  71   2 1291.40
  72   2 2438.83
  73   2 1138.48
  74   2 3665.08
  75   2 1077.87
  76   2 1723.78
  77   2 1653.63
  78   1  629.06
  79   2  216.22
  80   2  822.10
  81   1 2542.45
  82   1 2283.10
  83   2 1637.56
  84   2 3233.93
  85   1 1557.86
  86   2 2174.85
  87   1 1598.13
  88   1 2853.55
  89   2 1859.60
  90   2 1808.60
  91   2 2033.09
  92   2 2031.12
  93   2 2003.41
  94   1 2318.86
  95   2 1526.20
  96   1 1809.57
  97   2 2652.21
  98   1 1470.08
  99   2 2244.58
 100   2 1894.40
 101   2 1441.41
 102   2 1023.20
 103   1 1818.35
 104   1 1161.56
 105   2 2035.93
 106   1 1309.38
 107   1 4519.92
 108   2 2384.37
 109   1 1938.45
 110   2 1354.40
 111   2 2567.71
 112   2 1363.10
 113   1  703.66
 114   2 2621.08
 115   1 2226.99
 116   2 4174.95
 117   2 2748.01
 118   1 2074.92
 119   1 2045.00
 120   2 1754.50
 121   1 1941.78
 122   1 2899.16
 123   1 2950.10
 124   2 1758.95
 125   1 1400.24
 126   2 1597.48
 127   1 1961.32
 128   1 3106.00
 129   2 3371.88
 130   1 2008.01
 131   1 7131.84
 132   1 3149.90
 133   1 1727.08
 134   1 3494.82
 135   1 1544.38
 136   1 1101.57
 137   1 2233.06
 138   1 1110.54
 139   2 1514.83
 140   2  954.42
 141   2 1012.34
 142   2 2786.62
 143   2  705.34
 144   1  878.67
 145   1 1699.11
 146   2  913.31
 147   2 3046.78
 148   2 3041.39
 149   1 1786.50
 150   1 1212.66
 151   2  749.30
 152   1  953.64
 153   2 1019.00
 154   1 1059.56
 155   1 1559.86
 156   1 2875.32
 157   2 1033.46
 158   2 1396.40
 159   2  952.39
 160   2  751.29
 161   2  720.39
 162   1 2351.75
 163   1 1099.52
 164   1 1598.35
 165   1 1248.73
 166   2 2181.80
 167   2 1333.37
 168   2 1041.78
 169   1 1487.86
 170   1 1026.95
 171   2  770.56
 172   1 1582.45
 173   1 1524.84
 174   1 1353.90
 175   1 2219.97
 176   1 2136.93
 177   1 3211.57
 178   1 1354.89
 179   1  835.97
 180   1 1984.77
 181   1 1295.47
 182   2 1080.41
 183   2 2250.00
 184   1 1626.95
 185   2 1452.77
 186   1 1487.51
 187   1 1572.18
 188   1 2681.79
 189   2 1404.52
 190   2 1130.63
 191   2  828.35
 192   1 2085.38
 193   2 2984.12
 194   2 1514.45
 195   1 1554.19
 196   2 1206.49
 197   1 1147.61
 198   2 1509.84
 199   2 1871.89
 200   1  885.54
 201   2 1220.12
 202   2 1940.72
 203   2 2325.31
 204   1 3277.14
 205   1 1079.24
 206   2 1851.76
 207   1 2751.89
 208   1 2525.92
 209   1 1993.57
 210   2 3935.97
 211   2 1753.15
 212   2 2308.30
 213   2 1903.12
 214   2  753.22
 215   2  905.05
 216   2 3373.12
 217   2 1461.21
 218   2  913.24
 219   2 1232.56
 220   2 2119.73
 221   1 2524.49
 222   2 1813.56
 223   2 4357.39
 224   1  612.85
 225   2 1629.66
 226   1 2074.51
